0    	0.500|0.500|    	0.500|0.500|
1    	0.500|0.500|    	0.501|0.499|
2    	0.501|0.499|    	0.504|0.496|
3    	0.499|0.501|    	0.507|0.493|
4    	0.498|0.502|    	0.507|0.493|
5    	0.498|0.502|    	0.507|0.493|
6    	0.498|0.502|    	0.506|0.494|
7    	0.499|0.501|    	0.508|0.492|
8    	0.497|0.503|    	0.508|0.492|
9    	0.499|0.501|    	0.508|0.492|
10    	0.499|0.501|    	0.511|0.489|
11    	0.497|0.503|    	0.509|0.491|
12    	0.497|0.503|    	0.507|0.493|
13    	0.495|0.505|    	0.508|0.492|
14    	0.498|0.502|    	0.509|0.491|
15    	0.495|0.505|    	0.509|0.491|
16    	0.495|0.505|    	0.511|0.489|
17    	0.493|0.507|    	0.513|0.487|
18    	0.492|0.508|    	0.515|0.485|
19    	0.492|0.508|    	0.514|0.486|
20    	0.493|0.507|    	0.518|0.482|
21    	0.495|0.505|    	0.518|0.482|
22    	0.493|0.507|    	0.516|0.484|
23    	0.494|0.506|    	0.515|0.485|
24    	0.491|0.509|    	0.517|0.483|
25    	0.491|0.509|    	0.515|0.485|
26    	0.490|0.510|    	0.516|0.484|
27    	0.491|0.509|    	0.514|0.486|
28    	0.491|0.509|    	0.515|0.485|
29    	0.492|0.508|    	0.517|0.483|
30    	0.493|0.507|    	0.520|0.480|
31    	0.494|0.506|    	0.522|0.478|
32    	0.492|0.508|    	0.523|0.477|
33    	0.491|0.509|    	0.521|0.479|
34    	0.492|0.508|    	0.522|0.478|
35    	0.493|0.507|    	0.523|0.477|
36    	0.492|0.508|    	0.523|0.477|
37    	0.492|0.508|    	0.525|0.475|
38    	0.491|0.509|    	0.526|0.474|
39    	0.488|0.512|    	0.524|0.476|
40    	0.492|0.508|    	0.524|0.476|
41    	0.494|0.506|    	0.528|0.472|
42    	0.494|0.506|    	0.529|0.471|
43    	0.493|0.507|    	0.528|0.472|
44    	0.491|0.509|    	0.528|0.472|
45    	0.492|0.508|    	0.530|0.470|
46    	0.491|0.509|    	0.530|0.470|
47    	0.494|0.506|    	0.530|0.470|
48    	0.493|0.507|    	0.531|0.469|
49    	0.494|0.506|    	0.529|0.471|
50    	0.496|0.504|    	0.529|0.471|
51    	0.497|0.503|    	0.529|0.471|
52    	0.494|0.506|    	0.529|0.471|
53    	0.494|0.506|    	0.528|0.472|
54    	0.491|0.509|    	0.529|0.471|
55    	0.490|0.510|    	0.530|0.470|
56    	0.487|0.513|    	0.531|0.469|
57    	0.489|0.511|    	0.528|0.472|
58    	0.487|0.513|    	0.527|0.473|
59    	0.489|0.511|    	0.526|0.474|
60    	0.488|0.512|    	0.527|0.473|
61    	0.488|0.512|    	0.529|0.471|
62    	0.487|0.513|    	0.530|0.470|
63    	0.486|0.514|    	0.529|0.471|
64    	0.485|0.515|    	0.529|0.471|
65    	0.484|0.516|    	0.531|0.469|
66    	0.484|0.516|    	0.532|0.468|
67    	0.482|0.518|    	0.532|0.468|
68    	0.483|0.517|    	0.529|0.471|
69    	0.484|0.516|    	0.529|0.471|
70    	0.484|0.516|    	0.528|0.472|
71    	0.486|0.514|    	0.527|0.473|
72    	0.484|0.516|    	0.527|0.473|
73    	0.482|0.518|    	0.528|0.472|
74    	0.483|0.517|    	0.526|0.474|
75    	0.483|0.517|    	0.524|0.476|
76    	0.482|0.518|    	0.525|0.475|
77    	0.484|0.516|    	0.525|0.475|
78    	0.487|0.513|    	0.525|0.475|
79    	0.485|0.515|    	0.527|0.473|
80    	0.485|0.515|    	0.526|0.474|
81    	0.487|0.513|    	0.524|0.476|
82    	0.487|0.513|    	0.522|0.478|
83    	0.488|0.512|    	0.523|0.477|
84    	0.485|0.515|    	0.521|0.479|
85    	0.485|0.515|    	0.520|0.480|
86    	0.487|0.513|    	0.518|0.482|
87    	0.487|0.513|    	0.518|0.482|
88    	0.486|0.514|    	0.515|0.485|
89    	0.487|0.513|    	0.514|0.486|
90    	0.484|0.516|    	0.516|0.484|
91    	0.484|0.516|    	0.519|0.481|
92    	0.486|0.514|    	0.517|0.483|
93    	0.487|0.513|    	0.515|0.485|
94    	0.486|0.514|    	0.514|0.486|
95    	0.487|0.513|    	0.516|0.484|
96    	0.486|0.514|    	0.517|0.483|
97    	0.486|0.514|    	0.518|0.482|
98    	0.485|0.515|    	0.518|0.482|
99    	0.484|0.516|    	0.516|0.484|
100    	0.478|0.522|    	0.516|0.484|
101    	0.477|0.523|    	0.515|0.485|
102    	0.478|0.522|    	0.517|0.483|
103    	0.477|0.523|    	0.518|0.482|
104    	0.479|0.521|    	0.514|0.486|
105    	0.478|0.522|    	0.512|0.488|
106    	0.479|0.521|    	0.512|0.488|
107    	0.478|0.522|    	0.510|0.490|
108    	0.475|0.525|    	0.510|0.490|
109    	0.474|0.526|    	0.510|0.490|
110    	0.471|0.529|    	0.511|0.489|
111    	0.470|0.530|    	0.510|0.490|
112    	0.468|0.532|    	0.510|0.490|
113    	0.468|0.532|    	0.510|0.490|
114    	0.465|0.535|    	0.508|0.492|
115    	0.466|0.534|    	0.508|0.492|
116    	0.469|0.531|    	0.507|0.493|
117    	0.470|0.530|    	0.505|0.495|
118    	0.471|0.529|    	0.504|0.496|
119    	0.471|0.529|    	0.503|0.497|
120    	0.470|0.530|    	0.504|0.496|
121    	0.469|0.531|    	0.506|0.494|
122    	0.470|0.530|    	0.508|0.492|
123    	0.467|0.533|    	0.507|0.493|
124    	0.468|0.532|    	0.508|0.492|
125    	0.468|0.532|    	0.507|0.493|
126    	0.466|0.534|    	0.506|0.494|
127    	0.466|0.534|    	0.506|0.494|
128    	0.467|0.533|    	0.505|0.495|
129    	0.467|0.533|    	0.502|0.498|
130    	0.469|0.531|    	0.502|0.498|
131    	0.466|0.534|    	0.502|0.498|
132    	0.465|0.535|    	0.499|0.501|
133    	0.463|0.537|    	0.500|0.500|
134    	0.461|0.539|    	0.496|0.504|
